bfenr,grundindeks,antalgrunde,grundid,husnummerid,antalbygninger,bygningnr,bygningsid
10070009,1,1,13e83e71-7e05-4c31-80c2-b3e97d22acc1,2edda757-9024-1605-e044-0003ba298018,1,1,198951e5-6451-4c83-b695-3922cec83e07
10070031,1,1,2553d756-8576-4a11-942d-d518a1fd5d00,362e6b23-4bf8-0f9b-e044-0003ba298018,1,1,5c11ba66-8895-45fb-b6ee-e5bde8a15963
10070042,1,1,8b36173e-062d-4136-847c-b67fa1ca5526,362e6b23-4bed-0f9b-e044-0003ba298018,1,1,8aafb4e0-7df2-4634-91cc-bf98993cbfc4
10100907,1,1,29151075-41a6-4c19-bc50-012f0b8da356,0a3f507a-7621-32b8-e044-0003ba298018,1,1,49feeb62-7899-42c6-8e5a-30ccd1c758c8
10102367,1,1,162c386c-7c76-49c0-8825-d48359a9b655,3cae7253-0882-0f90-e044-0003ba298018,1,1,29ce92c3-8771-4abf-9cb9-29ed12d488f2
10102377,1,1,30bd9f3d-f3f8-4b89-ad8e-ed73d472b373,3cae7253-088c-0f90-e044-0003ba298018,1,1,1591e090-3283-4fb9-80de-ef5829034f63
6014079,4,1,03fdf79e-0259-46bb-91c0-839a092bbda8,1357eb80-9ba4-3d79-e044-0003ba298018,1,1,a3809291-0c79-4e7a-b23c-6f18e9c344d9
6014079,4,2,27716012-372d-4c26-8bff-936c9f647dbc,1357eb80-9ba4-3d79-e044-0003ba298018,1,1,a3809291-0c79-4e7a-b23c-6f18e9c344d9
6014079,4,3,784615ca-eca2-4f01-b59f-5a69e1483de6,1357eb80-9ba4-3d79-e044-0003ba298018,1,1,a3809291-0c79-4e7a-b23c-6f18e9c344d9
6014079,4,4,fcbd1fb4-95d5-4746-bf08-8b5f8e98bff1,1357eb80-9ba4-3d79-e044-0003ba298018,1,1,a3809291-0c79-4e7a-b23c-6f18e9c344d9
10252513,1,1,8933d126-43d6-415e-8f97-6a6530e52c7f,1b231335-6eaa-461c-e044-0003ba298018,1,1,553d04ea-7c6b-497a-8e74-1b31ce5bf609
6034325,1,1,22af3903-721c-4012-8156-9ee2ef691641,0a3f507a-3697-32b8-e044-0003ba298018,1,1,7e914a4b-5bab-4b86-a49d-e03b34ffdf62
100050284,2,1,4c306469-e7e6-4adf-b9c8-7063b2875612,,,,
100050284,2,2,5ca706f9-ca50-4876-825a-80b24d6356d1,0a3f507a-7ccd-32b8-e044-0003ba298018,1,1,2253f5ce-e22f-44cd-8272-8b1632594b2c
100050314,2,1,1c46b61c-1aa3-49ea-b43c-bee1b92f5715,,,,
100050314,2,2,e3afa4d1-baf9-436f-9e79-d61e8311945a,0a3f507a-7cd4-32b8-e044-0003ba298018,1,1,e23ad7b0-f5f3-473e-ad42-fbf2d1fa08e5
